scientificname (RAM),commonname1 (RAM),FisheryType,taxgroup,ISSCAAP name
Thunnus thynnus,Atlantic bluefin tuna,Tuna and Marlin,tuna-billfish,"Tunas, bonitos, billfishes"
Todarodes pacificus,Japanese common squid,Invertebrate,cephalopods,"Squids, cuttlefishes, octopuses"
Trachurus capensis,Cape horse mackerel,Forage Fish,carangids-mackerels,Miscellaneous pelagic fishes
Trachurus japonicus,Japanese jack mackerel,Forage Fish,carangids-mackerels,Miscellaneous pelagic fishes
Trachurus mediterraneus,Mediterranean horse mackerel,Forage Fish,carangids-mackerels,Miscellaneous pelagic fishes
Trachurus murphyi,Chilean jack mackerel,Forage Fish,carangids-mackerels,Miscellaneous pelagic fishes
Trachurus picturatus,Blue jack mackerel,Forage Fish,carangids-mackerels,Miscellaneous pelagic fishes
Trachurus trachurus,Horse mackerel,Forage Fish,carangids-mackerels,Miscellaneous pelagic fishes
Trachurus trecae,Cunene horse mackerel,Forage Fish,carangids-mackerels,Miscellaneous pelagic fishes
Trichiurus lepturus,Largehead hairtail,Other Marine,other marine fish,Miscellaneous demersal fishes
Trisopterus esmarkii,Norway Pout,Gadids,gadids,"Cods, hakes, haddocks"
Trisopterus minutus,Poor cod,Gadids,gadids,"Cods, hakes, haddocks"
Urophycis chuss,Red hake,Gadids,gadids,"Cods, hakes, haddocks"
Urophycis tenuis,White hake,Gadids,gadids,"Cods, hakes, haddocks"
Uroteuthis edulis,Swordtip squid,Invertebrate,cephalopods,"Squids, cuttlefishes, octopuses"
Xiphias gladius,Swordfish,Tuna and Marlin,tuna-billfish,"Tunas, bonitos, billfishes"
Zearaja chilensis,Yellownose skate,Sharks Rays and Skates,elasmobranchs,"Sharks, rays, chimaeras"
Zoarces americanus,Ocean pout,Other Marine,other marine fish,Miscellaneous coastal fishes
