Country (Country),Species (ASFIS species),Fishing area (FAO major fishing area),3A,FAO Scientific_name,accepted scientific name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Mexico,Marine fishes nei,"Atlantic, Western Central",MZZ,Osteichthyes,Actinopterygii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1300,2400,3400,4300,7000,8100,9400,9500,12400,15700,15600,15700,3780,2677,7358,8049,52603,53085,59249,108243,96383,129679,119489,105383,98061,94173,91611,98762,139066,147336,147185,136458,142846,77964,81517,108324,91863,70679,59872,52427,52796,56567,60967,29808,30701,31436,27166,24978,24886,22753,34205,10150,11151,12744
Mexico,Pacific sierra,"Pacific, Eastern Central",SIE,Scomberomorus sierra,Scomberomorus sierra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1800,1200,1000,1100,1400,1300,2800,3700,4500,3300,3350,4239,4083,3379,3644,4064,4028,5666,4200,2606,3014,3832,3024,3108,2585,4328,7147,5404,4599,5756,5625,5137,5742,5405,3896,5265,6261,5959,4815,5020,7723,6861,6072,7192,7200,5776,7230,6919,7669,9643,12076,12046
Mexico,Pacific red snapper,"Pacific, Eastern Central",LWP,Lutjanus peru,Lutjanus peru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3960,4135,4104,3097,1508,1178,1077,2862,4652,8153,11380
Mexico,"Jacks, crevalles nei","Atlantic, Western Central",TRE,Caranx spp,Caranx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,200,700,700,1300,1200,1300,1200,1200,1300,1300,1700,1696,1680,1182,1183,1171,1022,1315,1546,2250,5092,5507,3412,2897,3019,2975,2509,2460,1192,1580,2587,2766,5437,5911,8398,8735,6365,5779,6002,6328,8035,7941,2876,3003,2801,2623,2726,6102,5357,4963,4778,5526,10869
Mexico,Milkfish,"Pacific, Eastern Central",MIL,Chanos chanos,Chanos chanos,NA,NA,NA,NA,500,700,1700,1700,1600,1700,1500,1700,1000,1500,900,700,900,700,900,1100,800,600,400,200,33,22,49,41,46,39,211,209,181,175,97,1705,603,730,577,821,0,0,0,0,0,0,0,0,0,0,0,NA,1,2,3,14,15,422,69,65,68,10146,9052,6861,10521,10669
Mexico,Gastropods nei,"Pacific, Eastern Central",GAS,Gastropoda,Gastropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1717,1793,3297,3168,2038,3008,4645,8351,8307,6666,10463
Mexico,"Groupers, seabasses nei","Atlantic, Western Central",BSX,Serranidae,Serranidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,21,39,39,62,153,0,0,0,0,0,9572,10628,10234,13448,15200,13335,15565,14862,14018,13827,13526,15193,12389,11783,11692,13031,13289,10572,10220,6806,6582,11906,11852,13490,12730,11069,9946,7717,11471,9786,7062,10419
Mexico,"Jacks, crevalles nei","Pacific, Eastern Central",TRE,Caranx spp,Caranx,NA,NA,NA,NA,400,600,400,400,500,1000,500,500,500,800,1300,800,1000,600,1100,600,700,800,1200,1600,1951,1311,940,1910,2032,1311,2373,3003,2026,2055,2063,1821,1675,1894,3290,2763,2228,2388,3164,983,1146,1723,2049,2281,2198,1931,2487,2868,2729,3840,3795,3909,4081,4452,4599,4537,12772,4935,5312,6820,10234,10167
Mexico,"Rays, stingrays, mantas nei","Pacific, Eastern Central",SRX,Rajiformes,Rajiformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,13,20,41,68,26,60,127,312,270,100,69,1226,540,849,1843,1551,4511,4680,4017,3922,4137,4411,5150,4578,4757,4875,4944,4405,4098,4904,4993,5997,4614,5114,4199,4075,3922,4442,5031,6201,6537,9513
Mexico,Blue runner,"Atlantic, Western Central",RUB,Caranx crysos,Caranx crysos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4645,4850,4507,4589,4671,4590,4030,5129,4608,7517,9511
