Country (Country),FAO area,id,Fishing area (FAO major fishing area),ISO3,3A,ISSCAAP,ISSCAAP species group,taxgroup,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Thailand,Ind-E,Carangids nei,"Indian Ocean, Eastern",THA,CGX,37,Miscellaneous pelagic fishes,carangids-mackerels,,,,,,,,,,,,,,,,,,,,,0,0,0,100,200,403,340,562,1111,1743,961,1811,1472,2196,2702,2657,3884,9850,11404,11722,13113,7550,3197,14304,13180,8226,8663,8391,10395,8582,11764,9236,9170,11013,11017,12242,10656,10397,9519,10209,23418,18443,14957,12458,12747,13343
Thailand,Ind-E,Sardinellas nei,"Indian Ocean, Eastern",THA,SIX,35,"Herrings, sardines, anchovies",forage fish,,,,,,,,,,,,,,,,,,,,,0,0,0,0,100,1223,2668,2983,3105,11086,2414,2066,27056,24576,30371,27545,26657,41655,32691,29504,28265,25271,20893,38440,29455,54849,53086,51084,56813,54321,42276,33894,20648,15520,16598,16964,19258,15886,17596,16415,14918,15791,13897,11456,12786,13130
Thailand,Pac-WC,Barracudas nei,"Pacific, Western Central",THA,BAR,37,Miscellaneous pelagic fishes,other marine fish,,,,,,,,,,,,,,,,,,,,,4400,4800,3900,4700,3200,3735,2930,2686,4054,3764,3702,3664,3630,3142,2920,2340,2948,3885,3746,3387,3101,3130,2261,2389,4011,4335,3962,3691,3208,5563,6397,7625,8451,10072,7115,10373,7600,8033,6393,6158,7624,9917,13822,15198,12113,12998
Thailand,Ind-E,Bigeyes nei,"Indian Ocean, Eastern",THA,BIG,33,Miscellaneous coastal fishes,other marine percoidids,,,,,,,,,,,,,,,,,,,,,0,0,0,200,700,345,443,1990,835,947,1127,1283,742,609,735,1719,923,878,697,649,1830,8645,8399,10129,7614,11456,14711,15150,15361,11608,10520,33771,39722,40281,47077,36188,37755,33712,12617,11780,16687,13493,12992,15516,9914,12804
Thailand,Ind-E,Lizardfishes nei,"Indian Ocean, Eastern",THA,LIX,33,Miscellaneous coastal fishes,other marine fish,,,,,,,,,,,,,,,,,,,,,700,700,800,900,1400,349,2596,3097,660,795,447,1110,860,856,1038,1555,1648,1085,1085,1740,3285,3927,6472,11068,13302,11955,10680,8918,41178,12774,17190,6097,5725,6314,9823,3649,3330,5185,13232,12881,15911,10334,11639,13859,12636,12510
Thailand,Ind-E,Common squids nei,"Indian Ocean, Eastern",THA,SQC,57,"Squids, cuttlefishes, octopuses",cephalopods,,,,,,,,,,,,,,,,,,,,,100,100,100,100,400,590,685,5045,4882,4994,3624,4243,4275,4349,6647,4919,6052,7094,6242,7108,6762,12816,13565,16295,16464,18485,23229,23208,24120,20522,21532,16937,19445,14884,16738,11860,12825,13396,14198,14723,18151,15102,13133,12082,11991,12442
Thailand,Pac-WC,Longtail tuna,"Pacific, Western Central",THA,LOT,36,"Tunas, bonitos, billfishes",tuna-billfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10583,7962,9958,16306,50451,38470,45589,46408,37360,91628,80596,101397,79227,72277,39396,32006,38824,32347,29127,34805,45818,53407,55533,59052,68147,78657,79095,71213,62072,10500,12309,11806,5152,10175,12229,13046,11782
Thailand,Pac-WC,"Croakers, drums nei","Pacific, Western Central",THA,CDX,33,Miscellaneous coastal fishes,other marine percoidids,,,,,,,,,,,,,,,,,,,,,11100,11300,16800,16100,13500,10951,4541,10889,11427,7756,8611,9229,7125,6710,6433,6011,6676,7639,8658,8740,7480,5180,3956,4760,3933,4195,5118,5048,3896,15616,16456,20221,23683,24165,30202,33308,31485,29989,13355,14259,14251,9238,12334,12805,11082,11593
Thailand,Pac-WC,Kawakawa,"Pacific, Western Central",THA,KAW,36,"Tunas, bonitos, billfishes",tuna-billfish,,,,,,,,,,,,,,,,,,,,,4315,5424,5508,6519,8715,11163,8890,11296,8258,4130,4933,10240,23355,31550,30999,35644,43976,35341,23799,31045,30071,36263,51187,40602,40927,28871,28275,25557,26427,34188,27654,23000,27391,22016,27931,27947,25273,23476,9082,8478,8898,7199,8802,10757,11435,10499
Thailand,Pac-WC,"Octopuses, etc. nei","Pacific, Western Central",THA,OCT,57,"Squids, cuttlefishes, octopuses",cephalopods,,,,,,,,,,,,,,,,,,,,,600,700,4200,1600,1600,3098,4036,7013,7103,7234,5738,5347,6968,8114,6366,8922,10918,10992,11283,14621,15828,13653,14648,13681,11282,10828,12721,12193,16919,12120,10885,8065,8469,9449,10228,14000,11124,8957,6013,5842,5631,5338,7940,8626,7591,9734
