Area,Sp.group,Name,Species,2009,2011,2013,2015,2017,U2009,U2011,U2013,U2015,U2017
87,57,Jumbo flying squid,Dosidicus gigas,U,N,U,U,F,H,H,M,H,L
87,57,Various squids nei,"Loliginidae, Ommastrephidae",,,,,,,,,,
87,57,"Other Squids, cuttlefishes, octopuses",,,,,,,,,,,
87,57,"57-Squids, cuttlefishes, octopuses",,,,,,,,,,,
88,32,Grenadiers nei,Macrourus spp,F,,,,,M,,,,
88,34,Lanternfishes nei,Myctophidae,F,F,,F,F,M,M,M,M,M
88,34,Other Miscellaneous demersal fishes,,F,F,F,F,F,M,M,H,H,H
88,34,34-Miscellaneous demersal fishes,,,,,,,,,,,
88,46,Antarctic krill,Euphausia superba,U-F,N-F,U-F,?,U-F,M,M,,L,L
88,46,"46-Krill, planktonic crustaceans",,,,,,,,,,,
Tunas,36,Albacore,Thunnus alalunga,"O,F,?","O,F","O,O,?","U,F,?","U,F,F",L,L,"L,L,H","L,M,H","L,L,M"
Tunas,36,Atlantic bluefin tuna,Thunnus thynnus,"O,O","O,O","O,O","F,O","O,O",L,L,L,L,"H,H"
Tunas,36,Bigeye tuna,Thunnus obesus,F,F,F,O,O,L,L,L,L,"L,L,M"
Tunas,36,Skipjack tuna,Katsuwonus pelamis,"N,N","F,F","N,N","F, F","F,U",L,L,M,"L,M","M,L"
Tunas,36,Southern bluefin tuna,Thunnus maccoyii,O,O,O,O,O,L,L,L,L,
Tunas,36,Yellowfin tuna,Thunnus albacares,F,F,O,O,O,L,L,L,L,L
Tunas,36,Albacore,Thunnus alalunga,F,F,F,U,U,L,L,L,L,L
Tunas,36,Bigeye tuna,Thunnus obesus,F,F,F,F,F,L,L,L,L,L
Tunas,36,Skipjack tuna,Katsuwonus pelamis,N,N,N,U,F,M,M,M,L,L
Tunas,36,Southern bluefin tuna,Thunnus maccoyii,O,O,O,,,L,L,L,,
Tunas,36,Yellowfin tuna,Thunnus albacares,F,F,N,O,O,L,L,L,L,L
Tunas,36,Albacore,Thunnus alalunga,"O,N","F,N","N-F,N","U,U","U,U",L,L,"M,L",L,L
Tunas,36,Bigeye tuna,Thunnus obesus,F;F,"F,F","F,F","O,O","F,F",L,L,L,L,L
Tunas,36,Pacific bluefin tuna,Thunnus orientalis,O,O,O,O,O,L,L,M,L,L
Tunas,36,Skipjack tuna,Katsuwonus pelamis,"N,N","F,N","N-F,N","F,U","F,U","M,L","M,L","M,L",L,L
Tunas,36,Southern bluefin tuna,Thunnus maccoyii,O,O,O,O,O,L,L,L,L,L
Tunas,36,Yellowfin tuna,Thunnus albacares,F;N,"O,F","O,O","O,F","F,F",L,L,L,L,L
,,,,,,,,,,,,, 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,, 
