Area,Sp.group,Name,Species,2009,2011,2013,2015,2017,U2009,U2011,U2013,U2015,U2017
31,45,Atlantic seabob,Xiphopenaeus kroyeri,F,F,F,F,F,L,L,L,L,M
31,45,Northern brown shrimp,Penaeus aztecus,F,N,F,F,F,L,L,L,L,L
31,45,Northern pink shrimp,Penaeus duorarum,O,F,"F, O","F,F, O",F/ O,M,L,M,M,M
31,45,Northern white shrimp,Penaeus setiferus,?,N,U,F,F,,L,M,L,L
31,45,Penaeus shrimps nei,Penaeus spp,?,F/O,?,"F,O",F/O,,H,,H,H
31,45,Redspotted shrimp,Penaeus brasiliensis,O,O,O,O,O,H,H,H,H,H
31,45,Rock shrimp,Sicyonia brevirostris,,F,?,O,O,,H,,H,H
31,45,Royal red shrimp,Pleoticus robustus,?,F,?,F,F,,H,,H,H
31,45,"Other Shrimps, prawns",,,,,F,F,,,,H,H
31,45,"45-Shrimps, prawns",,,,,, ,,,,, 
31,52,Stromboid conchs nei,Strombus spp,F/O,F/O,F/O,F,F/O,L,M,L,M,H
31,52,"Other Abalones, winkles, conchs",,,,,F,F,,,,H,H
31,52,"52-Abalones, winkles, conchs",,,,,,,,,,,
31,53,American cupped oyster,Crassostrea virginica,"U, F",,"U, F","O, F",F/O,H,H,H,M,M
31,53,Other Oysters,,,,,O,O,,,,H,H
31,53,53-Oysters,,,,,, ,,,,, 
31,55,Calico scallop,Argopecten gibbus,?, ,,O,?,,,,H,
31,55,"Other Scallops, pectens",,,,,"O,F","O,F",,,,M,M
31,55,"55-Scallops, pectens",,,,,,,,,,,
34,31,Common sole,Solea solea,O,O,O,O,O,H,H,H,H,H
34,31,Flatfishes nei,Pleuronectiformes,O,O,O,O,O,H,H,H,H,H
34,31,Tonguefishes,Cynoglossidae,O,O,O,O,F,H,H,H,H,H
34,31,"Other Flounders, halibuts, soles",,O,O,O,,,H,H,,,
34,31,"31-Flounders, halibuts, soles",,,,,,,,,,,
34,32,European hake,Merluccius merluccius,O,O,O,O,O,L,L,M,L,L
34,32,Senegalese hake,Merluccius senegalensis,F,N,N,F,F,L,L,M,L,L
