Country (Country),FAO area,id,Fishing area (FAO major fishing area),ISO3,3A,ISSCAAP,ISSCAAP species group,taxgroup,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Malaysia,Ind-E,Clupeoids nei,"Indian Ocean, Eastern",MYS,CLU,35,"Herrings, sardines, anchovies",forage fish,2300,2000,2300,2000,2000,2000,2000,2000,2300,2000,2900,2900,2900,3500,3500,3600,2600,2700,2400,2700,4400,4100,4570,4300,5864,5063,7490,6147,5434,4691,6713,5152,6767,8292,6464,4419,4306,6959,6326,4020,5004,5733,5521,5023,3811,3516,4388,4766,3199,4583,3391,4275,4238,3866,4517,5509,6851,3666,4153,4798,3672,4533,5323,6343,7503,9584
Malaysia,Pac-WC,Cobia,"Pacific, Western Central",MYS,CBA,37,Miscellaneous pelagic fishes,other marine percoidids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,881,584,608,393,700,453,805,304,1032,527,447,476,374,279,292,274,436,645,504,407,367,391,505,811,654,1473,559,830,1107,992,1155,1067,883,1195
Malaysia,Ind-E,Cobia,"Indian Ocean, Eastern",MYS,CBA,37,Miscellaneous pelagic fishes,other marine percoidids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,109,104,86,192,162,114,112,117,119,164,131,109,62,76,111,87,111,136,150,152,166,164,134,218,246,147,305,236,441,197,306,320,131
Malaysia,Ind-E,"Croakers, drums nei","Indian Ocean, Eastern",MYS,CDX,33,Miscellaneous coastal fishes,other marine percoidids,2000,2000,1000,500,500,500,500,700,1000,1500,1500,1000,1500,1500,1500,1200,1800,4400,3300,2300,2000,1800,2200,3130,4580,5109,6701,6418,6006,5465,4909,4428,7335,8244,8840,11020,14107,9354,9111,7084,8257,8072,10260,10631,10089,10313,12221,11763,11484,10956,12216,10507,11593,11650,12019,10723,14313,15266,14847,17710,20676,24591,25024,25309,26768,26509
Malaysia,Pac-WC,"Croakers, drums nei","Pacific, Western Central",MYS,CDX,33,Miscellaneous coastal fishes,other marine percoidids,2000,2000,1000,500,500,500,500,800,1000,1500,1500,1000,1500,1500,1500,1200,1900,4700,3400,2400,2100,1900,2300,3270,4793,5346,7012,6716,6284,6912,5653,5843,4638,4814,5229,4985,7550,3892,8034,7688,5274,5319,5936,6683,7684,7079,8129,8605,10986,11232,11223,18253,10744,11592,12718,13187,13118,11748,10799,9694,12111,13127,13248,13398,12437,12267
Malaysia,Ind-E,"Cuttlefish, bobtail squids nei","Indian Ocean, Eastern",MYS,CTL,57,"Squids, cuttlefishes, octopuses",cephalopods,600,600,600,600,600,600,600,600,600,600,600,600,600,900,1100,800,800,1300,1600,1700,2200,2270,1950,2710,4201,4990,8306,8566,10485,3421,2560,1855,1871,2367,2658,2430,4365,4324,2918,4169,5132,4632,7105,6283,5720,7036,8014,8923,13329,9570,13492,9810,9778,9831,11106,8252,11442,11062,10526,11179,10455,11649,13562,11437,12276,10545
Malaysia,Pac-WC,"Cuttlefish, bobtail squids nei","Pacific, Western Central",MYS,CTL,57,"Squids, cuttlefishes, octopuses",cephalopods,400,400,400,400,400,400,400,400,400,400,400,400,400,600,600,400,500,800,1000,1000,1300,1330,1150,1590,2463,2926,4871,5023,6149,1307,1187,2748,1200,1400,1313,1548,3027,3519,3898,4873,7973,8005,8249,9034,9382,8440,10762,11668,12853,12498,12822,11657,13823,13899,13894,11400,12309,12319,10697,11372,12858,11918,12263,11813,12257,10139
Malaysia,Pac-WC,Daggertooth pike conger,"Pacific, Western Central",MYS,DPC,34,Miscellaneous demersal fishes,other marine fish,300,200,100,100,100,100,100,100,100,100,200,200,400,400,400,400,400,300,400,300,600,650,710,1300,784,1185,1846,2547,2671,1963,2201,1333,1077,985,1535,1722,2409,1568,1763,1263,2172,1346,1765,1328,2259,2249,2434,3137,3523,3440,3258,2936,4044,4449,4140,3655,4538,3770,3484,2752,2885,2518,2765,3296,3311,3407
Malaysia,Ind-E,Daggertooth pike conger,"Indian Ocean, Eastern",MYS,DPC,34,Miscellaneous demersal fishes,other marine fish,200,100,100,0,0,0,0,0,0,100,200,200,300,300,300,300,400,300,300,300,500,550,590,1100,661,998,1555,2146,2251,1742,1478,1217,2456,1730,2414,1862,2056,2379,2027,1612,1506,1468,1505,1635,1158,1146,2099,3707,3812,2390,2160,2083,1329,1277,1355,1209,2194,1925,2277,1779,1483,1536,1241,1785,1150,1790
Malaysia,Ind-E,Demersal percomorphs nei,"Indian Ocean, Eastern",MYS,DPX,34,Miscellaneous demersal fishes,other marine fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,20,20,20,21,19,29,34,21,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Pac-WC,Demersal percomorphs nei,"Pacific, Western Central",MYS,DPX,34,Miscellaneous demersal fishes,other marine fish,3000,3000,1500,1500,1500,1500,1500,1500,2000,3000,2000,2000,2000,2000,3000,3000,3500,3500,3500,3000,3290,3290,3480,4580,4768,4825,4505,6728,7850,8571,7462,8098,8060,6530,12852,12468,13735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malaysia,Pac-WC,Diadromous clupeoids nei,"Pacific, Western Central",MYS,DCX,24,Shads,forage fish,1000,600,500,500,500,500,500,300,600,700,1000,1000,1000,1000,1000,1300,2000,1900,2400,2400,1700,1700,1700,1800,1700,1800,1500,328,400,1000,200,300,663,825,1520,1690,1551,,439,765,1167,502,396,370,412,770,1278,574,559,577,652,1056,926,955,889,774,1026,860,816,1005,1399,1209,1354,1084,2529,3219
Malaysia,Ind-E,Diadromous clupeoids nei,"Indian Ocean, Eastern",MYS,DCX,24,Shads,forage fish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,14,3,8,30,1,0,49,41,1,0,45,17,30,107,102,22,45,13,50,305,75,122,58,64,70,34,20,23,27,45,208,30,170
Malaysia,Ind-E,Eeltail catfishes,"Indian Ocean, Eastern",MYS,CAE,33,Miscellaneous coastal fishes,other marine fish,0,0,0,0,,,,,,,,,,,100,100,300,500,400,400,340,210,210,140,204,308,276,330,623,544,662,817,1468,1596,1004,1104,2218,819,582,826,1294,707,700,916,851,1046,807,596,634,813,1370,1157,1088,1054,1015,813,1365,1273,1183,1514,1516,1688,1566,1669,1626,1396
Malaysia,Pac-WC,Eeltail catfishes,"Pacific, Western Central",MYS,CAE,33,Miscellaneous coastal fishes,other marine fish,0,0,0,0,,,,,,,,,,,100,100,100,300,200,200,160,90,90,60,94,141,127,151,285,233,272,659,335,336,178,180,180,115,404,89,162,631,388,1217,1649,964,996,851,1025,936,852,830,1030,841,947,1223,1126,992,1114,1139,1280,1352,1136,1665,1225,1068
