Scientific_name (FAO),English_name (FAO),ISSCAAP name,taxgroup
Coelorinchus hexafasciatus,Six-band grenadier,"Cods, hakes, haddocks",gadids
Coelorinchus innotabilis,Notable whiptail,"Cods, hakes, haddocks",gadids
Coelorinchus japonicus,Japanese grenadier,"Cods, hakes, haddocks",gadids
Coelorinchus kaiyomaru,Campbell whiptail,"Cods, hakes, haddocks",gadids
Coelorinchus kamoharai,Kamohara grenadier,"Cods, hakes, haddocks",gadids
Coelorinchus karrerae,Karrer's whiptail,"Cods, hakes, haddocks",gadids
Coelorinchus kermadecus,Kermadec rattail,"Cods, hakes, haddocks",gadids
Coelorinchus kishinouyei,Mugura grenadier,"Cods, hakes, haddocks",gadids
Coelorinchus labiatus,Spearsnouted grenadier,"Cods, hakes, haddocks",gadids
Coelorinchus longicephalus,Longhead grenadier,"Cods, hakes, haddocks",gadids
Coelorinchus macrochir,Longarm grenadier,"Cods, hakes, haddocks",gadids
Coelorinchus marinii,Marini's grenadier,"Cods, hakes, haddocks",gadids
Coelorinchus matamua,Mahia whiptail,"Cods, hakes, haddocks",gadids
Coelorinchus multispinulosus,Spearnose grenadier,"Cods, hakes, haddocks",gadids
Coelorinchus occa,Swordsnout grenadier,"Cods, hakes, haddocks",gadids
Coelorinchus oliverianus,Hawknose grenadier,"Cods, hakes, haddocks",gadids
Coelorinchus parallelus,Spiny grenadier,"Cods, hakes, haddocks",gadids
Coelorinchus productus,Unicorn grenadier,"Cods, hakes, haddocks",gadids
Coelorinchus scaphopsis,Shoulderspot grenadier,"Cods, hakes, haddocks",gadids
Coelorinchus ventrilux,Firebelly grenadier,"Cods, hakes, haddocks",gadids
Coelorinchus geronimo,,"Cods, hakes, haddocks",gadids
Coelorinchus trunovi,,"Cods, hakes, haddocks",gadids
Coelorinchus spp,,"Cods, hakes, haddocks",gadids
Albatrossia pectoralis,Giant grenadier,"Cods, hakes, haddocks",gadids
Asthenomacrurus fragilis,Fragile grenadier,"Cods, hakes, haddocks",gadids
Trachyrincus helolepis,Armourhead grenadier,"Cods, hakes, haddocks",gadids
Trachyrincus scabrus,Roughsnout grenadier,"Cods, hakes, haddocks",gadids
Bathygadus macrops,Bullseye grenadier,"Cods, hakes, haddocks",gadids
Bathygadus melanobranchus,Vaillant's grenadier,"Cods, hakes, haddocks",gadids
Bathygadus favosus,,"Cods, hakes, haddocks",gadids
Squalogadus modificatus,,"Cods, hakes, haddocks",gadids
Cetonurus crassiceps,Globosehead rattail,"Cods, hakes, haddocks",gadids
Cetonurus globiceps,,"Cods, hakes, haddocks",gadids
Cynomacrurus piriei,Dogtooth grenadier,"Cods, hakes, haddocks",gadids
Odontomacrurus murrayi,Roundhead grenadier,"Cods, hakes, haddocks",gadids
Trachonurus sulcatus,Bristly grenadier,"Cods, hakes, haddocks",gadids
Sphagemacrurus grenadae,,"Cods, hakes, haddocks",gadids
Nezumia bairdi,Marlin-spike grenadier,"Cods, hakes, haddocks",gadids
Nezumia aequalis,Common Atlantic grenadier,"Cods, hakes, haddocks",gadids
Nezumia condylura,,"Cods, hakes, haddocks",gadids
Nezumia convergens,Peruvian grenadier,"Cods, hakes, haddocks",gadids
Nezumia duodecim,Twelve-rayed grenadier,"Cods, hakes, haddocks",gadids
Nezumia latirostrata,Broadsnout grenadier,"Cods, hakes, haddocks",gadids
Nezumia liolepis,Smooth grenadier,"Cods, hakes, haddocks",gadids
Nezumia loricata,Parrot grenadier,"Cods, hakes, haddocks",gadids
Nezumia micronychodon,Smalltooth grenadier,"Cods, hakes, haddocks",gadids
Nezumia orbitalis,Spectacled grenadier,"Cods, hakes, haddocks",gadids
Nezumia proxima,Short-tail grenadier,"Cods, hakes, haddocks",gadids
Nezumia sclerorhynchus,Roughtip grenadier,"Cods, hakes, haddocks",gadids
Nezumia stelgidolepis,California grenadier,"Cods, hakes, haddocks",gadids
Nezumia spp,,"Cods, hakes, haddocks",gadids
Malacocephalus laevis,Softhead grenadier,"Cods, hakes, haddocks",gadids
Malacocephalus occidentalis,Western softhead grenadier,"Cods, hakes, haddocks",gadids
Malacocephalus spp,,"Cods, hakes, haddocks",gadids
Gadomus arcuatus,Doublethread grenadier,"Cods, hakes, haddocks",gadids
Haplomacrourus nudirostris,Naked snout rattail,"Cods, hakes, haddocks",gadids
Idiolophorhynchus andriashevi,Pineapple rattail,"Cods, hakes, haddocks",gadids
Kumba calvifrons,,"Cods, hakes, haddocks",gadids
Kuronezumia bubonis,Bulbous rattail,"Cods, hakes, haddocks",gadids
Kuronezumia leonis,Snubnose whiptail,"Cods, hakes, haddocks",gadids
Lepidorhynchus denticulatus,Thorntooth grenadier,"Cods, hakes, haddocks",gadids
Mataeocephalus acipenserinus,Sturgeon grenadier,"Cods, hakes, haddocks",gadids
Mataeocephalus tenuicauda,Slendertail grenadier,"Cods, hakes, haddocks",gadids
Mesobius antipodum,Bathypelagic rattail,"Cods, hakes, haddocks",gadids
Pseudonezumia cetonuropsis,,"Cods, hakes, haddocks",gadids
Ventrifossa atherodon,Arrowtooth grenadier,"Cods, hakes, haddocks",gadids
Ventrifossa ctenomelas,Hawaiian grenadier,"Cods, hakes, haddocks",gadids
Ventrifossa divergens,Plainfin grenadier,"Cods, hakes, haddocks",gadids
Ventrifossa garmani,Sagami grenadier,"Cods, hakes, haddocks",gadids
Ventrifossa macropogon,Longbeard grenadier,"Cods, hakes, haddocks",gadids
Ventrifossa nigrodorsalis,Spinaker grenadier,"Cods, hakes, haddocks",gadids
Ventrifossa petersoni,Peterson's grenadier,"Cods, hakes, haddocks",gadids
Ventrifossa nasuta,Conesnout grenadier,"Cods, hakes, haddocks",gadids
Macrouridae,"Grenadiers, rattails nei","Cods, hakes, haddocks",gadids
Melanonus gracilis,Pelagic cod,"Cods, hakes, haddocks",gadids
Melanonus zugmayeri,Arrowtail,"Cods, hakes, haddocks",gadids
Euclichthys polynemus,Eucla cod,"Cods, hakes, haddocks",gadids
Gadiformes,Gadiformes nei,"Cods, hakes, haddocks",gadids
Paramyxine atami,Brown hagfish,Miscellaneous coastal fishes,other marine fish
Myxine glutinosa,Hagfish,Miscellaneous coastal fishes,other marine fish
Nemamyxine elongata,,Miscellaneous coastal fishes,other marine fish
Eptatretus burgeri,Inshore hagfish,Miscellaneous coastal fishes,other marine fish
Eptatretus stoutii,Pacific hagfish,Miscellaneous coastal fishes,other marine fish
Eptatretus cirrhatus,Broadgilled hagfish,Miscellaneous coastal fishes,other marine fish
Myxinidae,Hagfishes nei,Miscellaneous coastal fishes,other marine fish
Gonorynchus gonorynchus,Beaked salmon,Miscellaneous coastal fishes,other marine fish
Elops hawaiensis,Hawaiian ladyfish,Miscellaneous coastal fishes,other marine fish
Elops saurus,Ladyfish,Miscellaneous coastal fishes,other marine fish
Elops affinis,Pacific ladyfish,Miscellaneous coastal fishes,other marine fish
Elops lacerta,West African ladyfish,Miscellaneous coastal fishes,other marine fish
Elops senegalensis,Senegalese ladyfish,Miscellaneous coastal fishes,other marine fish
Elops machnata,Tenpounder,Miscellaneous coastal fishes,other marine fish
Elops spp,Ladyfishes nei,Miscellaneous coastal fishes,other marine fish
Megalops atlanticus,Tarpon,Miscellaneous coastal fishes,other marine fish
Megalops cyprinoides,Indo-Pacific tarpon,Miscellaneous coastal fishes,other marine fish
Albula vulpes,Bonefish,Miscellaneous coastal fishes,other marine fish
Albula glossodonta,Roundjaw bonefish,Miscellaneous coastal fishes,other marine fish
Albula argentea,,Miscellaneous coastal fishes,other marine fish
Pterothrissus belloci,Longfin bonefish,Miscellaneous coastal fishes,other marine fish
Albulidae,Bonefishes nei,Miscellaneous coastal fishes,other marine fish
Hime japonicus,Japanese thread-sail fish,Miscellaneous coastal fishes,other marine fish
Aulopus filamentosus,Royal flagfin,Miscellaneous coastal fishes,other marine fish
Aulopus cadenati,Guinean flagfin,Miscellaneous coastal fishes,other marine fish
Alepisaurus ferox,Long snouted lancetfish,Miscellaneous coastal fishes,other marine fish
Alepisaurus brevirostris,Short snouted lancetfish,Miscellaneous coastal fishes,other marine fish
Alepisaurus spp,Lancetfishes nei,Miscellaneous coastal fishes,other marine fish
Anotopterus pharao,Daggertooth,Miscellaneous coastal fishes,other marine fish
Anotopterus vorax,Southern ocean daggertooth,Miscellaneous coastal fishes,other marine fish
Pseudotrichonotus altivelis,,Miscellaneous coastal fishes,other marine fish
Harpadon nehereus,Bombay-duck,Miscellaneous coastal fishes,other marine fish
Bathysaurus ferox,Deep-sea lizardfish,Miscellaneous coastal fishes,other marine fish
Bathysaurus mollis,Highfin lizardfish,Miscellaneous coastal fishes,other marine fish
Synodus evermanni,Inotted lizardfish,Miscellaneous coastal fishes,other marine fish
Synodus lucioceps,California lizardfish,Miscellaneous coastal fishes,other marine fish
Synodus saurus,Atlantic lizardfish,Miscellaneous coastal fishes,other marine fish
Synodus variegatus,Variegated lizardfish,Miscellaneous coastal fishes,other marine fish
Synodus synodus,Redbarred lizardfish,Miscellaneous coastal fishes,other marine fish
Synodus dermatogenys,Sand lizardfish,Miscellaneous coastal fishes,other marine fish
Synodus macrops,Triplecross lizardfish,Miscellaneous coastal fishes,other marine fish
Synodus jaculum,,Miscellaneous coastal fishes,other marine fish
Synodus myops,Snakefish,Miscellaneous coastal fishes,other marine fish
Saurida tumbil,Greater lizardfish,Miscellaneous coastal fishes,other marine fish
Saurida brasiliensis,Brazilian lizardfish,Miscellaneous coastal fishes,other marine fish
Saurida undosquamis,Brushtooth lizardfish,Miscellaneous coastal fishes,other marine fish
Saurida gracilis,Gracile lizardfish,Miscellaneous coastal fishes,other marine fish
Saurida longimanus,Longfin lizardfish,Miscellaneous coastal fishes,other marine fish
Saurida nebulosa,Clouded lizardfish,Miscellaneous coastal fishes,other marine fish
Saurida spp,,Miscellaneous coastal fishes,other marine fish
Synodontidae,Lizardfishes nei,Miscellaneous coastal fishes,other marine fish
Ancharius brevibarbis,,Miscellaneous coastal fishes,other fw fish
Ariopsis assimilis,Mayan sea catfish,Miscellaneous coastal fishes,other marine fish
Ariopsis bonillai,New Granada sea catfish,Miscellaneous coastal fishes,other marine fish
Ariopsis seemanni,Tete sea catfish,Miscellaneous coastal fishes,other marine fish
Ariopsis guatemalensis,Blue sea catfish,Miscellaneous coastal fishes,other marine fish
Batrachocephalus mino,Beardless sea catfish,Miscellaneous coastal fishes,other marine fish
Cathorops fuerthii,Congo sea catfish,Miscellaneous coastal fishes,other marine fish
Cathorops spixii,Madamango sea catfish,Miscellaneous coastal fishes,other marine fish
Cephalocassis melanochir,,Miscellaneous coastal fishes,other marine fish
Arius dussumieri,Blacktip sea catfish,Miscellaneous coastal fishes,other marine fish
Arius jella,Blackfin sea catfish,Miscellaneous coastal fishes,other marine fish
Arius arius,Threadfin sea catfish,Miscellaneous coastal fishes,other marine fish
Arius manillensis,,Miscellaneous coastal fishes,other marine fish
Arius sona,Sona sea catfish,Miscellaneous coastal fishes,other marine fish
Arius thalassinus,Giant catfish,Miscellaneous coastal fishes,other marine fish
Arius bilineatus,Bronze catfish,Miscellaneous coastal fishes,other marine fish
Arius leptaspis,Salmon catfish,Miscellaneous coastal fishes,other marine fish
Arius nasutus,Giant seacatfish,Miscellaneous coastal fishes,other marine fish
Arius gigas,Giant sea catfish,Miscellaneous coastal fishes,other marine fish
Arius platystomus,Flatmouth sea catfish,Miscellaneous coastal fishes,other marine fish
Arius heudelotii,Smoothmouth sea catfish,Miscellaneous coastal fishes,other marine fish
Arius latiscutatus,Rough-head sea catfish,Miscellaneous coastal fishes,other marine fish
Arius venosus,Veined catfish,Miscellaneous coastal fishes,other marine fish
Arius maculatus,Spotted catfish,Miscellaneous coastal fishes,other marine fish
Arius caelatus,Engraved catfish,Miscellaneous coastal fishes,other marine fish
Arius sagor,Sagor catfish,Miscellaneous coastal fishes,other marine fish
Arius felis,Hardhead sea catfish,Miscellaneous coastal fishes,other marine fish
Arius phrygiatus,Kukwari sea catfish,Miscellaneous coastal fishes,other marine fish
Arius proops,Crucifix sea catfish,Miscellaneous coastal fishes,other marine fish
Arius parkii,Guinean sea catfish,Miscellaneous coastal fishes,other marine fish
Arius madagascariensis,Madagascar sea catfish,Miscellaneous coastal fishes,other marine fish
Arius spp,,Miscellaneous coastal fishes,other marine fish
Cinetodus froggatti,Smallmouthed salmon catfish,Miscellaneous coastal fishes,other marine fish
Cochlefelis danielsi,Daniel's catfish,Miscellaneous coastal fishes,other marine fish
Doiichthys novaeguineae,Spoon-snouted catfish,Miscellaneous coastal fishes,other marine fish
Genidens genidens,Guri sea catfish,Miscellaneous coastal fishes,other marine fish
Ketengus typus,,Miscellaneous coastal fishes,other marine fish
Nedystoma dayi,Day's catfish,Miscellaneous coastal fishes,other marine fish
Sciadeops troschelii,Chili sea catfish,Miscellaneous coastal fishes,other marine fish
Tachysurus nenga,,Miscellaneous coastal fishes,other marine fish
Tetranesodon conorhynchus,Lorentz catfish,Miscellaneous coastal fishes,other marine fish
Bagre marinus,Gafftopsail sea catfish,Miscellaneous coastal fishes,other marine fish
Bagre panamensis,Chilhuil sea catfish,Miscellaneous coastal fishes,other marine fish
Bagre pinnimaculatus,Red sea catfish,Miscellaneous coastal fishes,other marine fish
Bagre bagre,Coco sea catfish,Miscellaneous coastal fishes,other marine fish
Galeichthys peruvianus,Peruvian sea catfish,Miscellaneous coastal fishes,other marine fish
Galeichthys feliceps,White barbel,Miscellaneous coastal fishes,other marine fish
Galeichthys spp,,Miscellaneous coastal fishes,other marine fish
Hemipimelodus bicolor,,Miscellaneous coastal fishes,other marine fish
Netuma barba,White sea catfish,Miscellaneous coastal fishes,other marine fish
Osteogeneiosus militaris,Soldier catfish,Miscellaneous coastal fishes,other marine fish
Notarius grandicassis,Thomas sea catfish,Miscellaneous coastal fishes,other marine fish
Amphiarius rugispinis,Softhead sea catfish,Miscellaneous coastal fishes,other marine fish
Aspistor quadriscutis,Bressou sea catfish,Miscellaneous coastal fishes,other marine fish
Aspistor parkeri,Gillbacker sea catfish,Miscellaneous coastal fishes,other marine fish
Sciades dowii,Brown sea catfish,Miscellaneous coastal fishes,other marine fish
Sciades herzbergii,Pemecou sea catfish,Miscellaneous coastal fishes,other marine fish
Sciades passany,Passany sea catfish,Miscellaneous coastal fishes,other marine fish
Sciades couma,Couma sea catfish,Miscellaneous coastal fishes,other marine fish
Plicofollis tenuispinis,Thinspine sea catfish,Miscellaneous coastal fishes,other marine fish
Neoarius midgleyi,Silver cobbler,Miscellaneous coastal fishes,other marine fish
Ariidae,Sea catfishes nei,Miscellaneous coastal fishes,other marine fish
Cnidoglanis macrocephalus,Cobbler,Miscellaneous coastal fishes,other marine fish
Euristhmus lepturus,Long-tailed catfish,Miscellaneous coastal fishes,other marine fish
Plotosus canius,Gray eel-catfish,Miscellaneous coastal fishes,other marine fish
Plotosus lineatus,Striped eel catfish,Miscellaneous coastal fishes,other marine fish
Plotosus papuensis,Papuan eel-catfish,Miscellaneous coastal fishes,other marine fish
Plotosus nkunga,Stinging eel catfish,Miscellaneous coastal fishes,other marine fish
Plotosus limbatus,Darkfin eel catfish,Miscellaneous coastal fishes,other marine fish
Plotosus spp,Eeltail catfishes,Miscellaneous coastal fishes,other marine fish
Paraplotosus albilabris,Whitelipped eel catfish,Miscellaneous coastal fishes,other marine fish
Anarchias allardicei,Allardice's moray,Miscellaneous coastal fishes,eels
Gymnothorax meleagris,Turkey moray,Miscellaneous coastal fishes,eels
Gymnothorax mareei,Spotjaw moray,Miscellaneous coastal fishes,eels
Gymnothorax rueppelliae,Banded moray,Miscellaneous coastal fishes,eels
Gymnothorax dovii,Speckled moray,Miscellaneous coastal fishes,eels
Gymnothorax funebris,Green moray,Miscellaneous coastal fishes,eels
Gymnothorax mordax,California moray,Miscellaneous coastal fishes,eels
Gymnothorax moringa,Spotted moray,Miscellaneous coastal fishes,eels
Gymnothorax ocellatus,Ocellated moray,Miscellaneous coastal fishes,eels
Gymnothorax porphyreus,,Miscellaneous coastal fishes,eels
Gymnothorax flavimarginatus,Yellow-edged moray,Miscellaneous coastal fishes,eels
Gymnothorax undulatus,Undulated moray,Miscellaneous coastal fishes,eels
Gymnothorax vicinus,Purplemouth moray,Miscellaneous coastal fishes,eels
Gymnothorax pseudothyrsoideus,Highfin moray,Miscellaneous coastal fishes,eels
Gymnothorax maderensis,Sharktooth moray,Miscellaneous coastal fishes,eels
Gymnothorax polygonius,Polygon moray,Miscellaneous coastal fishes,eels
Gymnothorax unicolor,Brown moray,Miscellaneous coastal fishes,eels
Gymnothorax afer,Dark moray,Miscellaneous coastal fishes,eels
Gymnothorax bacalladoi,Canary moray,Miscellaneous coastal fishes,eels
Gymnothorax kidako,Kidako moray,Miscellaneous coastal fishes,eels
Gymnothorax phasmatodes,Ghost moray,Miscellaneous coastal fishes,eels
Gymnothorax nudivomer,Starry moray,Miscellaneous coastal fishes,eels
Gymnothorax favagineus,Laced moray,Miscellaneous coastal fishes,eels
Gymnothorax equatorialis,Spottail moray,Miscellaneous coastal fishes,eels
Gymnothorax phalarus,,Miscellaneous coastal fishes,eels
Gymnothorax spp,,Miscellaneous coastal fishes,eels
Channomuraena vittata,Broadbanded moray,Miscellaneous coastal fishes,eels
Muraena helena,Mediterranean moray,Miscellaneous coastal fishes,eels
Muraena pavonina,,Miscellaneous coastal fishes,eels
Muraena retifera,Reticulate moray,Miscellaneous coastal fishes,eels
Muraena robusta,Stout moray,Miscellaneous coastal fishes,eels
Muraena argus,White-spotted moray,Miscellaneous coastal fishes,eels
Muraena lentiginosa,Jewel moray,Miscellaneous coastal fishes,eels
Muraena melanotis,Honeycomb moray,Miscellaneous coastal fishes,eels
Muraena australiae,,Miscellaneous coastal fishes,eels
Muraena clepsydra,Hourglass moray,Miscellaneous coastal fishes,eels
Muraena augusti,,Miscellaneous coastal fishes,eels
Muraena spp,,Miscellaneous coastal fishes,eels
Cirrimaxilla formosa,,Miscellaneous coastal fishes,eels
Enchelycore bayeri,Bayer's moray,Miscellaneous coastal fishes,eels
Enchelycore pardalis,Leopard moray eel,Miscellaneous coastal fishes,eels
Enchelycore anatina,Fangtooth moray,Miscellaneous coastal fishes,eels
Enchelycore nigricans,Viper moray,Miscellaneous coastal fishes,eels
Enchelynassa canina,,Miscellaneous coastal fishes,eels
Gymnomuraena zebra,Zebra moray,Miscellaneous coastal fishes,eels
Gymnotus pantherinus,,Miscellaneous coastal fishes,eels
Echidna catenata,Chain moray,Miscellaneous coastal fishes,eels
Echidna nebulosa,Snowflake moray,Miscellaneous coastal fishes,eels
Echidna polyzona,Barred moray,Miscellaneous coastal fishes,eels
Echidna peli,Pebbletooth moray,Miscellaneous coastal fishes,eels
Monopenchelys acuta,,Miscellaneous coastal fishes,eels
Pseudechidna brummeri,White ribbon eel,Miscellaneous coastal fishes,eels
Rhinomuraena quaesita,Ribbon moray,Miscellaneous coastal fishes,eels
Siderea thyrsoidea,Greyface moray,Miscellaneous coastal fishes,eels
Siderea picta,Peppered moray,Miscellaneous coastal fishes,eels
Strophidon sathete,Slender giant moray,Miscellaneous coastal fishes,eels
Thyrsoidea macrura,Giant slender moray,Miscellaneous coastal fishes,eels
Uropterygius macrocephalus,Needle-tooth moray,Miscellaneous coastal fishes,eels
Uropterygius wheeleri,Jigsaw moray,Miscellaneous coastal fishes,eels
Muraenidae,Morays nei,Miscellaneous coastal fishes,eels
Panturichthys isognathus,,Miscellaneous coastal fishes,eels
Panturichthys longus,Slender shortfaced eel,Miscellaneous coastal fishes,eels
Panturichthys mauritanicus,Mauritanian shortfaced eel,Miscellaneous coastal fishes,eels
Pythonichthys sanguineus,,Miscellaneous coastal fishes,eels
Pythonichthys macrurus,Longtailed shortfaced eel,Miscellaneous coastal fishes,eels
Pythonichthys microphthalmus,Shorttailed shortfaced eel,Miscellaneous coastal fishes,eels
Heterenchelyidae,,Miscellaneous coastal fishes,eels
Neoconger tuberculatus,,Miscellaneous coastal fishes,eels
Moringua edwardsi,Spaghetti eel,Miscellaneous coastal fishes,eels
Moringuidae,Spaghetti eels nei,Miscellaneous coastal fishes,eels
Ophichthus ophis,Spotted snake-eel,Miscellaneous coastal fishes,eels
Ophichthus regius,Ornate snake-eel,Miscellaneous coastal fishes,eels
Ophichthus rufus,Rufus snake-eel,Miscellaneous coastal fishes,eels
Ophichthus remiger,Punctuated snake-eel,Miscellaneous coastal fishes,eels
Ophichthus gomesii,Shrimp eel,Miscellaneous coastal fishes,eels
Ophichthus apicalis,Bluntnose snake-eel,Miscellaneous coastal fishes,eels
Ophichthus zophochir,Yellow snake-eel,Miscellaneous coastal fishes,eels
Ophichthus frontalis,Death-banded snake-eel,Miscellaneous coastal fishes,eels
Ophisurus serpens,Serpent eel,Miscellaneous coastal fishes,eels
Ophisurus macrorhynchus,,Miscellaneous coastal fishes,eels
Xyrias revulsus,,Miscellaneous coastal fishes,eels
Scytalichthys miurus,Short-tailed viper-eel,Miscellaneous coastal fishes,eels
Schultzidia johnstonensis,Johnston snake-eel,Miscellaneous coastal fishes,eels
Schismorhynchus labialis,,Miscellaneous coastal fishes,eels
Quassiremus polyclitellum,,Miscellaneous coastal fishes,eels
Phaenomonas cooperae,Short-maned sand-eel,Miscellaneous coastal fishes,eels
Paraletharchus pacificus,Sailfin eel,Miscellaneous coastal fishes,eels
Pisodonophis boro,Rice-paddy eel,Miscellaneous coastal fishes,eels
Pisodonophis cancrivorus,Longfin snake-eel,Miscellaneous coastal fishes,eels
Pisodonophis semicinctus,,Miscellaneous coastal fishes,eels
Pisodonophis hoeveni,Hoeven's snake eel,Miscellaneous coastal fishes,eels
Neenchelys daedalus,,Miscellaneous coastal fishes,eels
Mystriophis porphyreus,,Miscellaneous coastal fishes,eels
Mystriophis crosnieri,Spoon-nose eel,Miscellaneous coastal fishes,eels
Mystriophis rostellatus,African spoon-nose eel,Miscellaneous coastal fishes,eels
Myrophis punctatus,Speckled worm-eel,Miscellaneous coastal fishes,eels
Myrophis plumbeus,Leaden worm eel,Miscellaneous coastal fishes,eels
Muraenichthys gymnotus,Indo-Pacific slender worm-eel,Miscellaneous coastal fishes,eels
Muraenichthys schultzei,Maimed snake eel,Miscellaneous coastal fishes,eels
Malvoliophis pinguis,,Miscellaneous coastal fishes,eels
Leuropharus lasiops,Acned snake-eel,Miscellaneous coastal fishes,eels
Leptenchelys vermiformis,Slender worm-eel,Miscellaneous coastal fishes,eels
Leiuranus semicinctus,Saddled snake-eel,Miscellaneous coastal fishes,eels
Lamnostoma polyophthalma,,Miscellaneous coastal fishes,eels
Lamnostoma orientalis,Oriental worm-eel,Miscellaneous coastal fishes,eels
Ichthyapus acuticeps,Sharpnose sand-eel,Miscellaneous coastal fishes,eels
Herpetoichthys fossatus,Mustachioed snake-eel,Miscellaneous coastal fishes,eels
Hemerorhinus opici,,Miscellaneous coastal fishes,eels
Caecula pterygera,Finny snake eel,Miscellaneous coastal fishes,eels
Gordiichthys irretitus,Horsehair eel,Miscellaneous coastal fishes,eels
Evips percinctus,,Miscellaneous coastal fishes,eels
Ethadophis byrnei,Ordinary eel,Miscellaneous coastal fishes,eels
Ethadophis epinepheli,,Miscellaneous coastal fishes,eels
Elapsopis versicolor,,Miscellaneous coastal fishes,eels
Echiophis punctifer,Stippled spoon-nose eel,Miscellaneous coastal fishes,eels
Echiophis creutzbergi,,Miscellaneous coastal fishes,eels
Echiophis brunneus,Pacific spoon-nose eel,Miscellaneous coastal fishes,eels
Echelus myrus,Painted eel,Miscellaneous coastal fishes,eels
Echelus pachyrhynchus,,Miscellaneous coastal fishes,eels
Dalophis obtusirostris,,Miscellaneous coastal fishes,eels
Dalophis boulengeri,,Miscellaneous coastal fishes,eels
Dalophis cephalopeltis,,Miscellaneous coastal fishes,eels
Dalophis multidentatus,,Miscellaneous coastal fishes,eels
Pseudomyrophis atlanticus,,Miscellaneous coastal fishes,eels
Cirricaecula johnsoni,,Miscellaneous coastal fishes,eels
Caralophia loxochila,Slantlip eel,Miscellaneous coastal fishes,eels
Letharchus velifer,,Miscellaneous coastal fishes,eels
Myrichthys aki,,Miscellaneous coastal fishes,eels
Myrichthys pardalis,Leopard eel,Miscellaneous coastal fishes,eels
Callechelys catostomus,,Miscellaneous coastal fishes,eels
Callechelys guineensis,Shorttail snake eel,Miscellaneous coastal fishes,eels
Callechelys leucoptera,,Miscellaneous coastal fishes,eels
Brachysomophis crocodilinus,Crocodile snake eel,Miscellaneous coastal fishes,eels
Brachysomophis atlanticus,,Miscellaneous coastal fishes,eels
Apterichtus kendalli,,Miscellaneous coastal fishes,eels
Apterichtus gracilis,,Miscellaneous coastal fishes,eels
Apterichtus monodi,,Miscellaneous coastal fishes,eels
Aprognathodon platyventris,Stripe eel,Miscellaneous coastal fishes,eels
Aplatophis chauliodus,Fangtooth snake-eel,Miscellaneous coastal fishes,eels
Ahlia egmontis,Key worm eel,Miscellaneous coastal fishes,eels
Bascanichthys bascanoides,Sooty sand-eel,Miscellaneous coastal fishes,eels
Bascanichthys ceciliae,,Miscellaneous coastal fishes,eels
Cirrhimuraena inhacae,Inhaca fringelip,Miscellaneous coastal fishes,eels
Phyllophichthus xenodontus,Flappy snake-eel,Miscellaneous coastal fishes,eels
Ophichthidae,Snake eels nei,Miscellaneous coastal fishes,eels
Chilorhinus platyrhynchus,Flatnose xenocongrid eel,Miscellaneous coastal fishes,eels
Chlopsis dentatus,Mottled false moray,Miscellaneous coastal fishes,eels
Chlopsis olokun,,Miscellaneous coastal fishes,eels
Kaupichthys hyoproroides,False moray,Miscellaneous coastal fishes,eels
Parexocoetus mento,African sailfin flyingfish,Miscellaneous coastal fishes,forage fish
Aulichthys japonicus,,Miscellaneous coastal fishes,other marine fish
Aulorhynchus flavidus,Tube-snout,Miscellaneous coastal fishes,other marine fish
Eurypegasus draconis,Short dragonfish,Miscellaneous coastal fishes,other marine fish
Pegasus volitans,Longtail seamouth,Miscellaneous coastal fishes,other marine fish
Hypoptychus dybowskii,Korean sandlance,Miscellaneous coastal fishes,other marine fish
Aulostomus strigosus,,Miscellaneous coastal fishes,other marine fish
Fistularia corneta,Pacific cornetfish,Miscellaneous coastal fishes,other marine fish
Fistularia tabacaria,Cornetfish,Miscellaneous coastal fishes,other marine fish
Fistularia commersonii,Bluespotted cornetfish,Miscellaneous coastal fishes,other marine fish
Fistularia petimba,Red cornetfish,Miscellaneous coastal fishes,other marine fish
Fistularia spp,Flutemouth,Miscellaneous coastal fishes,other marine fish
Centriscus cristatus,Smooth razorfish,Miscellaneous coastal fishes,other marine fish
Centriscus scutatus,Grooved razor-fish,Miscellaneous coastal fishes,other marine fish
Aeoliscus punctulatus,Speckled shrimpfish,Miscellaneous coastal fishes,other marine fish
Solenostomus cyanopterus,Ghost pipefish,Miscellaneous coastal fishes,other marine fish
Solenostomus paradoxus,Harlequin ghost pipefish,Miscellaneous coastal fishes,other marine fish
Anarchopterus criniger,Fringed pipefish,Miscellaneous coastal fishes,other marine fish
Apterygocampus epinnulatus,,Miscellaneous coastal fishes,other marine fish
Syngnathus acus,Greater pipefish,Miscellaneous coastal fishes,other marine fish
Syngnathus typhle,Broadnosed pipefish,Miscellaneous coastal fishes,other marine fish
Syngnathus abaster,,Miscellaneous coastal fishes,other marine fish
Syngnathus phlegon,,Miscellaneous coastal fishes,other marine fish
Syngnathus rostellatus,Nilsson's pipefish,Miscellaneous coastal fishes,other marine fish
Syngnathus schmidti,,Miscellaneous coastal fishes,other marine fish
Syngnathus taenionotus,,Miscellaneous coastal fishes,other marine fish
Syngnathus tenuirostris,,Miscellaneous coastal fishes,other marine fish
Syngnathus variegatus,,Miscellaneous coastal fishes,other marine fish
Syngnathus spp,Pipefishes nei,Miscellaneous coastal fishes,other marine fish
Bhanotia fasciolata,,Miscellaneous coastal fishes,other marine fish
